,id,casts,genres,title,vote_count,ratings
164,20982,"[82055, 82057, 89971]","[{'name': '애니메이션'}, {'name': '액션'}, {'name': '판타지'}]",나루토 질풍전 극장판 1기 - 나루토의 죽음,417,7.2
165,276907,"[2524, 70456, 2040]","[{'name': '범죄'}, {'name': '스릴러'}]",레전드,2849,6.9
166,899082,"[10980, 10989, 10990]",[{'name': '다큐멘터리'}],해리 포터 20주년: 리턴 투 호그와트,1096,8.0
167,673309,"[69899, 10690, 6065]",[{'name': '드라마'}],아메리칸 언더독,53,7.2
168,61979,"[77122, 82700, 224874]","[{'name': '로맨스'}, {'name': '드라마'}]",쓰리 미터스 어보브 헤븐,2386,7.8
169,315635,"[1136406, 2232, 3223]","[{'name': '액션'}, {'name': '모험'}, {'name': 'SF'}, {'name': '드라마'}]",스파이더맨: 홈커밍,18160,7.4
170,324857,"[587506, 543505, 130640]","[{'name': '액션'}, {'name': '모험'}, {'name': '애니메이션'}, {'name': 'SF'}]",스파이더맨: 뉴 유니버스,10931,8.4
171,458576,"[63, 57207, 2372]","[{'name': '액션'}, {'name': '판타지'}, {'name': '모험'}]",몬스터 헌터,2455,6.8
172,453354,"[1800818, 1055917, 983929]",[{'name': '드라마'}],아바,129,6.0
173,613504,"[1753914, 1114487, 95686]","[{'name': '로맨스'}, {'name': '드라마'}]",애프터: 그 후,4475,7.3
174,385687,"[12835, 17647, 976]","[{'name': '액션'}, {'name': '범죄'}]",분노의 질주 10,0,0.0
175,482373,"[32747, 2839, 2396546]","[{'name': '스릴러'}, {'name': '공포'}]",맨 인 더 다크 2,1483,7.4
176,630004,"[1281, 469759, 32987]","[{'name': '범죄'}, {'name': '액션'}, {'name': '스릴러'}]",웨이 다운,552,7.0
177,646380,"[72129, 6193, 5064]","[{'name': '코미디'}, {'name': '드라마'}, {'name': 'SF'}]",돈 룩 업,4799,7.2
178,813258,"[1592584, 2093022, 70652]","[{'name': '애니메이션'}, {'name': '코미디'}, {'name': '판타지'}]",Monster Pets: A Hotel Transylvania Short,295,7.5
179,539885,"[83002, 6949, 72466]","[{'name': '액션'}, {'name': '범죄'}, {'name': '드라마'}, {'name': '스릴러'}]",에이바,1913,5.7
180,559,"[2219, 205, 17051]","[{'name': '판타지'}, {'name': '액션'}, {'name': '모험'}]",스파이더맨 3,11328,6.3
181,772436,"[76857, 105843, 238141]","[{'name': '액션'}, {'name': '코미디'}, {'name': '모험'}]",Matando Cabos 2: La Máscara del Máscara,69,7.8
182,508442,"[134, 56323, 78577]","[{'name': '애니메이션'}, {'name': '코미디'}, {'name': '판타지'}, {'name': '가족'}]",소울,7726,8.2
183,522444,"[136347, 1181361, 1236816]","[{'name': '공포'}, {'name': '스릴러'}, {'name': '모험'}, {'name': '미스터리'}]",블랙 워터: 아비스,311,5.1
184,928999,"[211742, 85477, 13022]","[{'name': '서부'}, {'name': '액션'}]",데스프릿 라이더즈,9,6.7
185,893941,"[2678002, 1640510, 1640511]",[{'name': '코미디'}],Misfit #EresOTeHaces,155,8.0
186,198663,"[527393, 115150, 1310760]","[{'name': '액션'}, {'name': '미스터리'}, {'name': 'SF'}, {'name': '스릴러'}]",메이즈 러너,14389,7.2
187,784500,"[77931, 219575, 1116333]","[{'name': '애니메이션'}, {'name': '액션'}, {'name': '모험'}, {'name': '코미디'}, {'name': '드라마'}, {'name': '판타지'}, {'name': '로맨스'}]",미소녀 전사 세일러 문 이터널 - 파트 2,100,8.1
188,610150,"[90496, 85286, 90569]","[{'name': '애니메이션'}, {'name': 'SF'}, {'name': '액션'}]",ドラゴンボール超：スーパーヒーロー,0,0.0
189,537915,"[1753914, 1114487, 1684130]","[{'name': '로맨스'}, {'name': '드라마'}]",애프터,6970,7.2
190,793967,"[999790, 1514065, 54716]","[{'name': '공포'}, {'name': '스릴러'}]",포비아스,26,5.5
191,719088,"[1154449, 1221102]","[{'name': '애니메이션'}, {'name': '드라마'}, {'name': '로맨스'}]","예스, 노 또는 반반",17,6.7
192,892835,"[237455, 114254, 1278555]","[{'name': '코미디'}, {'name': '로맨스'}]",Book of Love,18,5.0
193,672,"[10980, 10989, 10990]","[{'name': '모험'}, {'name': '판타지'}]",해리 포터와 비밀의 방,17887,7.7
194,587807,"[56734, 454, 1226277]","[{'name': '코미디'}, {'name': '가족'}, {'name': '애니메이션'}]",톰과 제리,1944,7.0
195,155,"[3894, 1810, 3895]","[{'name': '드라마'}, {'name': '액션'}, {'name': '범죄'}, {'name': '스릴러'}]",다크 나이트,26972,8.5
